0,zero
1,one
10,ten
100,hundred
1000,thousand
11,eleven
12,twelve
120,long hundred
13,thirteen
14,fourteen
15,fifteen
16,sixteen
17,seventeen
18,eighteen
19,nineteen
2,two
20,twenty
21,twenty-one
22,twenty-two
23,twenty-three
24,twenty-four
25,twenty-five
26,twenty-six
27,twenty-seven
28,twenty-eight
29,twenty-nine
3,three
30,thirty
4,four
40,forty
5,five
50,fifty
500,five hundred
6,six
60,sixty
7,seven
70,seventy
78,seventy-eight
8,eight
80,eighty
9,nine
90,ninety
abdominal,abdominal muscle
abducent,abducent nerve
abkhazian,Abkhaz
ablative,ablative case
aboriginal,Aborigine
abortifacient,aborticide
abrasive,abradant
absorbent,absorbent material
abstinent,abstainer
abstract,abstraction
abstractionist,abstract artist
absurd,the absurd
academic,academician
accessary,accessory
accessory,accoutrement
accusative,accusative case
ace,one
aching,ache
acid,back breaker
acting,playing
actinoid,actinide
activating,energizing
active,active agent
activist,militant
acute,acute accent
adamant,diamond
adenoid,pharyngeal tonsil
adept,ace
adherent,disciple
adhesive,adhesive material
adolescent,stripling
adrenal,adrenal gland
adrenergic,adrenergic drug
adsorbent,adsorbent material
adult,grownup
adulterant,adulterator
advance,progress
aerial,forward pass
aery,aerie
aesthetic,esthetic
afferent,sensory nerve
affluent,feeder
afghani,Pashto
afghanistani,Afghan
afro-american,African-American
agape,agape love
aged,elderly
ageing,ripening
agglomerate,pile
aggregate,sum
aging,ripening
agnate,patrikin
agnostic,doubter
alabaster,oriental alabaster
alcoholic,alky
alert,qui vive
aleutian,Aleut
algonquin,Algonquian
alien,foreigner
aliquot,aliquot part
almighty,Godhead
alternate,surrogate
alternative,option
alto,contralto
alveolar,alveolar consonant
amber,gold
amino,amino group
ammoniac,gum ammoniac
amnesiac,amnesic
amnesic,amnesiac
amphibian,amphibious vehicle
anaesthetic,anesthetic
analgesic,anodyne
analog,analogue
analogue,analog
analphabetic,analphabet
anatomical,anatomical reference
ancient,antediluvian
aneroid,aneroid barometer
anesthetic,anaesthetic
animal,animate being
anionic,anionic detergent
annelid,annelid worm
annoying,annoyance
annual,yearly
anodyne,analgesic
anorectic,anorexic
anorexic,anorectic
antacid,gastric antacid
antecedent,ancestor
antediluvian,antediluvian patriarch
antepenultimate,antepenult
anterior,front tooth
anthelminthic,vermifuge
anthelmintic,vermifuge
anthropoid,ape
anti-intellectual,philistine
antiaircraft,antiaircraft gun
antibacterial,antibacterial drug
antibiotic,antibiotic drug
antic,joke
anticholinergic,anticholinergic drug
anticipant,anticipator
antifungal,antifungal agent
antimicrobial,disinfectant
antimicrobic,disinfectant
antineoplastic,antineoplastic drug
antiphonal,antiphonary
antiphonary,antiphonal
antipodal,antipodal opposition
antipyretic,febrifuge
antiquarian,antiquary
antique,old-timer
antiviral,antiviral agent
anuran,frog
anxiolytic,minor tranquilizer
aperient,purgative
apostate,deserter
appellant,plaintiff in error
appellative,appellation
approaching,approach
approving,blessing
arabian,Arab
arachnoid,arachnoid membrane
